,日期,時間,outlier
579,2019/6/18,10:00:00,False
580,2019/6/18,10:15:00,False
581,2019/6/18,10:30:00,False
582,2019/6/18,10:45:00,False
583,2019/6/18,11:00:00,False
584,2019/6/18,11:15:00,False
585,2019/6/18,11:30:00,False
586,2019/6/18,11:45:00,False
587,2019/6/18,12:00:00,False
588,2019/6/18,12:15:00,False
589,2019/6/18,12:30:00,False
590,2019/6/18,12:45:00,False
591,2019/6/18,13:00:00,False
592,2019/6/19,09:15:00,False
593,2019/6/19,09:30:00,False
594,2019/6/19,09:45:00,True
595,2019/6/19,10:00:00,False
596,2019/6/19,10:15:00,False
597,2019/6/19,10:30:00,False
598,2019/6/19,10:45:00,False
599,2019/6/19,11:00:00,False
600,2019/6/19,11:15:00,False
601,2019/6/19,11:30:00,False
602,2019/6/19,11:45:00,False
603,2019/6/19,12:00:00,False
604,2019/6/19,12:15:00,False
605,2019/6/19,12:30:00,False
606,2019/6/19,12:45:00,False
607,2019/6/19,13:00:00,False
608,2019/6/20,09:15:00,False
609,2019/6/20,09:30:00,False
610,2019/6/20,09:45:00,False
611,2019/6/20,10:00:00,False
612,2019/6/20,10:15:00,False
613,2019/6/20,10:30:00,False
614,2019/6/20,10:45:00,True
615,2019/6/20,11:00:00,False
616,2019/6/20,11:15:00,False
617,2019/6/20,11:30:00,False
618,2019/6/20,11:45:00,False
619,2019/6/20,12:00:00,False
620,2019/6/20,12:15:00,False
621,2019/6/20,12:30:00,True
622,2019/6/20,12:45:00,False
623,2019/6/20,13:00:00,False
624,2019/6/21,09:15:00,False
625,2019/6/21,09:30:00,False
626,2019/6/21,09:45:00,False
627,2019/6/21,10:00:00,False
628,2019/6/21,10:15:00,False
629,2019/6/21,10:30:00,False
630,2019/6/21,10:45:00,False
631,2019/6/21,11:00:00,False
632,2019/6/21,11:15:00,False
633,2019/6/21,11:30:00,False
634,2019/6/21,11:45:00,False
635,2019/6/21,12:00:00,False
636,2019/6/21,12:15:00,False
637,2019/6/21,12:30:00,False
638,2019/6/21,12:45:00,False
639,2019/6/21,13:00:00,False
640,2019/6/24,09:15:00,False
641,2019/6/24,09:30:00,False
642,2019/6/24,09:45:00,False
643,2019/6/24,10:00:00,False
644,2019/6/24,10:15:00,False
645,2019/6/24,10:30:00,False
646,2019/6/24,10:45:00,False
647,2019/6/24,11:00:00,False
648,2019/6/24,11:15:00,False
649,2019/6/24,11:30:00,True
650,2019/6/24,11:45:00,False
651,2019/6/24,12:00:00,False
652,2019/6/24,12:15:00,False
653,2019/6/24,12:30:00,False
654,2019/6/24,12:45:00,True
655,2019/6/24,13:00:00,True
656,2019/6/25,09:15:00,False
657,2019/6/25,09:30:00,False
658,2019/6/25,09:45:00,False
659,2019/6/25,10:00:00,False
660,2019/6/25,10:15:00,False
661,2019/6/25,10:30:00,False
662,2019/6/25,10:45:00,False
663,2019/6/25,11:00:00,False
664,2019/6/25,11:15:00,False
665,2019/6/25,11:30:00,False
666,2019/6/25,11:45:00,False
